2020-12-21 02:15	1.22096	1.22096	1.22061	1.22084	647
2020-12-21 02:20	1.22083	1.22086	1.22055	1.22056	608
2020-12-21 02:25	1.22056	1.22068	1.22012	1.22014	639
2020-12-21 02:30	1.22015	1.22019	1.21965	1.21973	1041
2020-12-21 02:35	1.21972	1.21979	1.21895	1.21895	960
2020-12-21 02:40	1.21895	1.21895	1.21789	1.21867	1362
2020-12-21 02:45	1.21867	1.21926	1.21866	1.21920	650
2020-12-21 02:50	1.21918	1.21934	1.21912	1.21928	466
2020-12-21 02:55	1.21927	1.21927	1.21888	1.21892	807
2020-12-21 03:00	1.21893	1.21908	1.21868	1.21880	576
2020-12-21 03:05	1.21879	1.21910	1.21879	1.21897	466
2020-12-21 03:10	1.21898	1.21908	1.21878	1.21885	445
2020-12-21 03:15	1.21885	1.21898	1.21885	1.21897	245
2020-12-21 03:20	1.21895	1.21897	1.21885	1.21888	248
2020-12-21 03:25	1.21889	1.21889	1.21856	1.21856	545
2020-12-21 03:30	1.21856	1.21875	1.21846	1.21863	528
2020-12-21 03:35	1.21862	1.21869	1.21846	1.21858	283
2020-12-21 03:40	1.21860	1.21881	1.21852	1.21873	370
2020-12-21 03:45	1.21873	1.21875	1.21854	1.21863	230
2020-12-21 03:50	1.21863	1.21863	1.21844	1.21845	148
2020-12-21 03:55	1.21847	1.21858	1.21842	1.21845	153
2020-12-21 04:00	1.21845	1.21867	1.21845	1.21864	147
2020-12-21 04:05	1.21865	1.21871	1.21850	1.21864	154
2020-12-21 04:10	1.21864	1.21895	1.21863	1.21893	251
2020-12-21 04:15	1.21892	1.21892	1.21866	1.21877	328
2020-12-21 04:20	1.21878	1.21882	1.21863	1.21864	269
2020-12-21 04:25	1.21863	1.21882	1.21861	1.21862	255
2020-12-21 04:30	1.21861	1.21888	1.21858	1.21888	222
2020-12-21 04:35	1.21888	1.21911	1.21888	1.21893	208
2020-12-21 04:40	1.21893	1.21903	1.21888	1.21898	218
2020-12-21 04:45	1.21897	1.21908	1.21890	1.21899	300
2020-12-21 04:50	1.21898	1.21898	1.21886	1.21896	168
2020-12-21 04:55	1.21895	1.21918	1.21895	1.21908	128
2020-12-21 05:00	1.21908	1.21915	1.21852	1.21855	563
2020-12-21 05:05	1.21856	1.21877	1.21854	1.21864	560
2020-12-21 05:10	1.21866	1.21873	1.21845	1.21848	462
2020-12-21 05:15	1.21846	1.21848	1.21811	1.21815	737
2020-12-21 05:20	1.21814	1.21829	1.21808	1.21823	530
2020-12-21 05:25	1.21824	1.21833	1.21813	1.21832	549
2020-12-21 05:30	1.21833	1.21860	1.21830	1.21859	472
2020-12-21 05:35	1.21859	1.21882	1.21857	1.21863	425
